Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segmento
302,8,2162.174,1,2,3,123,En riesgo
132,7,2567.0099999999998,2,1,3,213,En riesgo
151,6,933.704,2,1,1,211,En riesgo
113,10,1041.0420000000001,2,2,2,222,En riesgo
158,4,366.822,2,1,1,211,En riesgo
287,9,2199.366,1,2,3,123,En riesgo
421,5,1245.788,1,1,2,112,En riesgo
184,10,3889.366,2,2,4,224,En riesgo
362,3,79.75,1,1,1,111,En riesgo
149,10,3797.2320000000004,2,2,4,224,En riesgo
387,3,1361.2440000000001,1,1,2,112,En riesgo
764,5,236.53,1,1,1,111,En riesgo
1135,5,1284.38,1,1,2,112,En riesgo
157,5,2454.6220000000003,2,1,3,213,En riesgo
768,7,251.36,1,1,1,111,En riesgo
126,6,358.1,2,1,1,211,En riesgo
247,7,736.276,1,1,1,111,En riesgo
409,2,48.4,1,1,1,111,En riesgo
736,8,900.552,1,2,1,121,En riesgo
114,4,71.263,2,1,1,211,En riesgo
175,4,1058.108,2,1,2,212,En riesgo
117,7,2152.352,2,1,3,213,En riesgo
300,6,695.442,1,1,1,111,En riesgo
757,7,2358.676,1,1,3,113,En riesgo
223,9,1507.018,2,2,2,222,En riesgo
174,8,528.91,2,2,1,221,En riesgo
404,5,2256.3940000000002,1,1,3,113,En riesgo
483,6,709.178,1,1,1,111,En riesgo
752,3,195.0,1,1,1,111,En riesgo
287,4,383.812,1,1,1,111,En riesgo
119,10,2203.7,2,2,3,223,En riesgo
593,3,1156.658,1,1,2,112,En riesgo
119,8,1417.654,2,2,2,222,En riesgo
534,9,3868.02,1,2,4,124,En riesgo
463,8,469.169,1,2,1,121,En riesgo
461,7,1428.731,1,1,2,112,En riesgo
117,9,908.821,2,2,1,221,En riesgo
289,7,907.158,1,2,1,121,En riesgo
295,4,88.472,1,1,1,111,En riesgo
770,5,449.096,1,1,1,111,En riesgo
436,7,3246.626,1,2,4,124,En riesgo
552,1,5.304,1,1,1,111,En riesgo
414,7,1961.934,1,2,3,123,En riesgo
151,3,287.426,2,1,1,211,En riesgo
239,6,318.239,1,1,1,111,En riesgo
391,7,1346.774,1,2,2,122,En riesgo
776,6,368.88000000000005,1,1,1,111,En riesgo
205,5,1259.04,2,1,2,212,En riesgo
189,8,795.154,2,2,1,221,En riesgo
421,8,937.039,1,2,2,122,En riesgo
555,7,1342.282,1,2,2,122,En riesgo
116,7,1242.8329999999999,2,2,2,222,En riesgo
264,2,16.739,1,1,1,111,En riesgo
376,9,400.016,1,2,1,121,En riesgo
170,9,2146.694,2,2,3,223,En riesgo
155,6,1252.8,2,1,2,212,En riesgo
168,6,1314.023,2,1,2,212,En riesgo
180,4,154.288,2,1,1,211,En riesgo
125,6,639.178,2,1,1,211,En riesgo
434,7,475.65599999999995,1,2,1,121,En riesgo
452,5,370.348,1,1,1,111,En riesgo
1165,2,273.87199999999996,1,1,1,111,En riesgo
204,9,1821.742,2,2,3,223,En riesgo
183,8,2893.455,2,2,4,224,En riesgo
525,4,377.16200000000003,1,1,1,111,En riesgo
189,9,2518.6659999999997,2,2,3,223,En riesgo
406,6,1164.73,1,1,2,112,En riesgo
687,2,132.738,1,1,1,111,En riesgo
881,3,1061.488,1,1,2,112,En riesgo
134,7,1677.536,2,2,2,222,En riesgo
483,3,1441.152,1,1,2,112,En riesgo
386,4,1405.402,1,1,2,112,En riesgo
648,7,221.084,1,2,1,121,En riesgo
110,8,652.644,2,2,1,221,En riesgo
114,4,2745.892,2,1,4,214,En riesgo
1097,1,48.36,1,1,1,111,En riesgo
302,6,666.52,1,1,1,111,En riesgo
519,3,740.382,1,1,1,111,En riesgo
119,8,1460.192,2,2,2,222,En riesgo
345,9,1453.474,1,2,2,122,En riesgo
299,2,98.35,1,1,1,111,En riesgo
201,7,1348.02,2,2,2,222,En riesgo
126,8,1254.64,2,2,2,222,En riesgo
414,1,14.112,1,1,1,111,En riesgo
226,5,47.946,2,1,1,211,En riesgo
764,2,2096.392,1,1,3,113,En riesgo
253,7,1318.776,1,2,2,122,En riesgo
421,6,244.49399999999997,1,1,1,111,En riesgo
606,6,1043.041,1,1,2,112,En riesgo
491,6,613.4,1,1,1,111,En riesgo
432,9,418.49,1,2,1,121,En riesgo
162,6,1019.044,2,1,2,212,En riesgo
162,8,2835.564,2,2,4,224,En riesgo
534,8,758.6959999999999,1,2,1,121,En riesgo
285,5,1240.871,1,1,2,112,En riesgo
106,4,1038.26,2,1,2,212,En riesgo
337,9,3058.372,1,2,4,124,En riesgo
344,7,2422.824,1,2,3,123,En riesgo
130,4,1094.6779999999999,2,1,2,212,En riesgo
193,7,675.9419999999999,2,2,1,221,En riesgo
357,2,4.833,1,1,1,111,En riesgo
172,7,2054.14,2,2,3,223,En riesgo
406,3,439.5,1,1,1,111,En riesgo
154,8,846.01,2,2,1,221,En riesgo
491,5,418.432,1,1,1,111,En riesgo
117,8,380.69,2,2,1,221,En riesgo
221,8,1055.981,2,2,2,222,En riesgo
999,9,1736.596,1,2,3,123,En riesgo
202,9,1493.944,2,2,2,222,En riesgo
